id,category,kind,title,purpose,genesis_organs,priority,notes,format,size_mb,relative_path,original_name
T029,01_indicators,indicator,Indicator - VWAP,Volume Weighted Average Price,session_profile;chart_structure,P2,,rar,0.157,01_indicators/Indicator - VWAP.rar,VWAP_ind.rar
T030,05_data_io_utils,util,Data - Sec To Text Instrument Name,Security to readable name,market_context,P3,,zip,0.041,05_data_io_utils/Data - Sec To Text Instrument Name.zip,Блок показывает название инструмента SecToText.zip
T031,02_trade_control,env_guard,Trade - Is Lab Mode,Lab vs live mode discriminator,market_context,P1,Critical hygiene: never mix lab and live semantics,rar,0.056,02_trade_control/Trade - Is Lab Mode.rar,Блок_IsLabMode.rar
T032,06_messaging_ui,ui,UI - Message Advanced,Advanced message/notification block,news_events,P3,,rar,0.144,06_messaging_ui/UI - Message Advanced.rar,БлокСообщение_MessageAdv.rar
T033,03_time_datetime,datetime,Time - Date Normalized Text,Human-readable date format,session_profile,P3,,rar,0.008,03_time_datetime/Time - Date Normalized Text.rar,ДатаВнормальномВиде.rar
T034,02_trade_control,trade_flow,Trade - Dual Exit Cube,Block with two exit paths,impulse_quality,P3,,rar,0.001,02_trade_control/Trade - Dual Exit Cube.rar,ДваВыходаИзКубика.rar
T035,05_data_io_utils,util,Data - Dividers,Divider utilities pack,chart_structure,P3,,rar,0.502,05_data_io_utils/Data - Dividers.rar,Делители.rar
T036,05_data_io_utils,io,Data - Write To File,File writer block,market_context,P2,,rar,0.188,05_data_io_utils/Data - Write To File.rar,ЗаписьВфайл.rar
T037,01_indicators,indicator,Indicator - DiNapoli Stochastic,DiNapoli stochastic script,chart_structure,P2,,tscript,0.025,01_indicators/Indicator - DiNapoli Stochastic.tscript,Индикатор DiNapoli Stochastic.tscript
T038,01_indicators,indicator,Indicator - EMA,EMA block,chart_structure,P3,,rar,0.65,01_indicators/Indicator - EMA.rar,Индикатор_EMA_в_TSLab.rar
T039,01_indicators,indicator,Indicator - SMA,SMA block,chart_structure,P3,,rar,0.369,01_indicators/Indicator - SMA.rar,Индикатор_SMA.rar
T040,04_risk_money_stats,pnl,Money - Income Counter Indicator,Income counting indicator,market_context,P3,,zip,0.009,04_risk_money_stats/Money - Income Counter Indicator.zip,Индикатор_Подсчет_дохода.zip
T041,03_time_datetime,datetime,Time - Intervals Between Dates,Date interval calculator,session_profile,P3,,rar,0.232,03_time_datetime/Time - Intervals Between Dates.rar,ИнтерваловМеждуДатами.rar
T042,05_data_io_utils,util,Data - Value Getter Cube,Generic value getter,market_context,P3,,rar,0.04,05_data_io_utils/Data - Value Getter Cube.rar,кубик для получения значений.rar
T043,03_time_datetime,bar_state,Time - Is Last Bar,Detect last bar in series,chart_structure;market_tempo,P1,Important for look-ahead hygiene analogies,rar,0.196,03_time_datetime/Time - Is Last Bar.rar,кубик_IsLastBar.rar
T044,03_time_datetime,datetime,Time - System Time,System clock block,market_tempo;session_profile,P2,,rar,0.079,03_time_datetime/Time - System Time.rar,Кубик_SystemTime.rar
T045,03_time_datetime,datetime,Time - Bar Date,Bar date extraction,session_profile;chart_structure,P2,,rar,0.092,03_time_datetime/Time - Bar Date.rar,КубикBarDate.rar
T046,06_messaging_ui,ui,UI - Ruler,Chart ruler tool,chart_structure,P3,,zip,0.149,06_messaging_ui/UI - Ruler.zip,Линейка_в_TSLab.zip
T047,05_data_io_utils,tempo,Tempo - Metronomes Pack,Metronome utility pack,market_tempo,P3,,rar,0.05,05_data_io_utils/Tempo - Metronomes Pack.rar,Метраномы для TSLab.rar
T048,07_toolkits_bundles,update,Bundle - Update 2021-03-31,Dated update pack,market_context,P3,Legacy dated bundle,rar,0.495,07_toolkits_bundles/Bundle - Update 2021-03-31.rar,Обновление 31_03_2021.rar
T049,03_time_datetime,alert,Time - Expiry Date Alert,Instrument expiry date notification,news_events;session_profile,P2,,rar,0.004,03_time_datetime/Time - Expiry Date Alert.rar,ОповещениеДатаЭкспирация.rar
T050,04_risk_money_stats,costs,Money - Commission Example,Commission calculation example,spread_entry_cost,P2,,rar,0.001,04_risk_money_stats/Money - Commission Example.rar,ПримерРасчетаКомиссии.rar
T051,06_messaging_ui,ui,UI - Drawing Code,Drawing helpers in TSLab,chart_structure,P3,,zip,0.003,06_messaging_ui/UI - Drawing Code.zip,Рисования_в_тслаб_код.zip
T052,01_indicators,indicator,Indicator - Up Down Counter,Rise/fall bar counter,chart_structure;impulse_quality,P3,,rar,0.002,01_indicators/Indicator - Up Down Counter.rar,Счетчик_Рост_Падение_ind.rar
T053,02_trade_control,trade_timing,Trade - Interval Minutes,Trading interval in minutes,session_profile;market_tempo,P2,,rar,0.027,02_trade_control/Trade - Interval Minutes.rar,Торговый_интервал_в_минуты.rar
T054,08_connectivity,connectivity,Connectivity - OKX API Ping Checker,OKX API latency/ping checker,spread_entry_cost;market_tempo,P1,Exchange health probe pattern for GENESIS connectivity research,rar,3.386,08_connectivity/Connectivity - OKX API Ping Checker.rar,чекер пинга к OKX api.rar
