"id","category","author","title","tags","notes","duplicate_candidate","format","size_mb","relative_path","original_name"
"B016","01_technical_analysis","A.J. Frost, Robert Prechter","Elliott Wave Principle (RU)","elliott;ta;frost;prechter","Was Elliott - Materialy.pdf; Alpina/Potashkin edition material","False","pdf","0,45","01_technical_analysis/Frost Prechter - Volnovoy printsip Elliotta.pdf","элиот.pdf"
"B017","01_technical_analysis","D. Hutson","Wyckoff Method (RU)","wyckoff;ta","","False","pdf","1,91","01_technical_analysis/Hutson D - Metod Wyckoffa.pdf","D.Hatson._Method_Vaykoffa.pdf"
"B018","01_technical_analysis","James Hyerczyk","Pattern, Price & Time / Gann (RU)","gann;ta","","False","pdf","4,58","01_technical_analysis/Hyerczyk James - Model tsena i vremya (Gann).pdf","Модель, цена и время. Применение теории Ганна (Хьержик Джеймс).pdf"
"B019","01_technical_analysis","","Ichimoku Indicator (notes)","ichimoku;ta","","False","doc","0,28","01_technical_analysis/Indikator Ishimoku 1.doc","ИНДИКАТОР ИШИМОКУ 1.doc"
"B020","01_technical_analysis","T. Joseph","Simplified Elliott Wave (RU)","elliott;ta","","False","pdf","2,44","01_technical_analysis/Joseph T - Uproshchennyy analiz voln Elliotta.pdf","T.Dzhozef._The_simplified_analysis_of_a_wave_of_Elliotta.pdf"
"B021","01_technical_analysis","","Point and Figure Charting (RU)","pnf;ta","","False","pdf","7,44","01_technical_analysis/Metod krestiki-noliki.pdf","Метод графического анализа Крестики-нолики.pdf"
"B022","01_technical_analysis","","Momentum, Direction and Divergence (RU)","momentum;ta","","False","pdf","5,39","01_technical_analysis/Momentum napravlennost i rashozhdenie.pdf","Моментум, направленность и расхождение.pdf"
"B023","01_technical_analysis","Greg Morris","Candlestick Charting Explained (RU)","candles;ta","","False","pdf","9,21","01_technical_analysis/Morris Greg - Yapounskie svechi metody analiza.pdf","G.Morris.Yaponskie-svechi-metody-analiza-akciy-proverennye-vr.pdf"
"B024","01_technical_analysis","John Murphy","Technical Analysis of the Financial Markets (RU)","murphy;ta","","False","pdf","9,09","01_technical_analysis/Murphy John - Tekhnicheskiy analiz.pdf","Мэрфи - тех анализ.pdf"
"B025","01_technical_analysis","Steve Nison","Japanese Candlestick Charting (RU)","candles;nison;ta","","False","pdf","7,05","01_technical_analysis/Nison Steve - Yapounskie svechi.pdf","S.Nison._The_Japanese_candles._The_graphic_analysis_financial_market.pdf"
"B026","01_technical_analysis","Steve Nison","Beyond Candlesticks (RU)","candles;nison;ta","","False","pdf","5,76","01_technical_analysis/Nison Steve - Za granyu yaponskih svechey.pdf","Stiv-Nison.-Za-granyu-yaponskikh-svechey.pdf"
"B027","01_technical_analysis","Edgar Peters","Fractal Market Analysis (RU)","fractals;ta","","False","djvu","3,87","01_technical_analysis/Peters Edgar - Fraktalnyy analiz finansovyh rynkov.djvu","Эдгар Петерс, Фрактальный анализ финансовых рынков.djvu"
"B028","01_technical_analysis","Martin Pring","On Price Patterns (RU)","patterns;ta","","False","pdf","5,18","01_technical_analysis/Pring Martin - O tsenovyh modelyah.pdf","Мартин Принг О ценовых моделях.pdf"
"B029","01_technical_analysis","V.I. Safin","Who Do Japanese Candles Shine For (RU)","candles;safin;ta","","False","djvu","2,66","01_technical_analysis/Safin V.I. - Komu svetyat yaponskie svechi.djvu","Сафин В.И. - Кому светят японские свечи[q] (2004)(ru).djvu"
"B030","01_technical_analysis","Safonov","Practical Elliott Wave (RU)","elliott;ta","","False","djvu","3,82","01_technical_analysis/Safonov - Prakticheskoe ispolzovanie voln Elliotta.djvu","+Сафонов.Практическое использование волн Эллиотта.djvu"
"B031","01_technical_analysis","","Strongest Signal: Divergences and Reversals (RU)","divergence;ta","","False","pdf","2,16","01_technical_analysis/Samyy silnyy signal - rashozhdeniya i razvoroty.pdf","самый_сильный_сигнал_в_техническом_анализе_расхождения_и_развороты_трендов.pdf"
"B032","01_technical_analysis","Jack Schwager","Technical Analysis (full course, RU)","schwager;ta","","False","pdf","3,17","01_technical_analysis/Schwager Jack - Tehanaliz polnyy kurs.pdf","Tehanaliz-polnyy-kurs-D.-Shvager.pdf"
"B033","01_technical_analysis","Bill Williams","New Trading Dimensions (RU)","williams;ta","","False","pdf","4,18","01_technical_analysis/Williams Bill - Novye izmereniya.pdf","Билл Вильямс Новые измерения.pdf"
"B034","01_technical_analysis","Bill Williams","Trading Chaos 2 (RU)","williams;ta;chaos","Extracted from ZIP archive","False","pdf","3,33","01_technical_analysis/Williams Bill - Torgovyy haos 2.pdf","Williams Bill - Torgovyy haos 2.pdf"
"B035","01_technical_analysis","Tom Williams","Master the Markets / VSA (RU)","vsa;williams;ta","","False","pdf","6,53","01_technical_analysis/Williams Tom - Hozyaeva rynka.pdf","tom-williams-hozyaeva-rinka.compressed.pdf"
"B036","02_trading_systems_practice","","50 Shades of Forex (RU)","forex","","False","pdf","14,99","02_trading_systems_practice/50 Shades of Forex RU.pdf","50_shades_of_Forex_RU.pdf"
"B037","02_trading_systems_practice","F. Ahundov","The Whole Truth About Forex (RU)","forex","","False","pdf","4,22","02_trading_systems_practice/Ahundov F - Vsya pravda o Forex.pdf","Ahundov_F._Vsya_Pravda_O_Forex_Razob.a6.pdf"
"B038","02_trading_systems_practice","","FX Dealing ABC (RU)","forex","","False","doc","2,22","02_trading_systems_practice/Azbuka valyutnogo dilinga.doc","Азбука валютного дилинга.doc"
"B039","02_trading_systems_practice","S. Belyaev","Trading System: Next Candle Calculation (RU)","systems;candles","","False","pdf","32,73","02_trading_systems_practice/Belyaev S - TS Raschet sleduyushchey svechi.pdf","С.Беляев._Торговая_система_Расчет_следующей_свечи.PDF"
"B040","02_trading_systems_practice","Lewis Borsellino","Day Trading Workbook (RU)","daytrading","","False","pdf","1,43","02_trading_systems_practice/Borsellino L - Zadachnik po daytreydingu.pdf","L.Borselino.Zadachnik-po-deytreydingu.pdf"
"B041","02_trading_systems_practice","S. Bulashev","Statistics for Traders (RU)","stats","","False","pdf","1,51","02_trading_systems_practice/Bulashev S - Statistika dlya treyderov.pdf","С.Булашев - Статистика для трейдеров.pdf"
"B042","02_trading_systems_practice","Yu. Chebotarev","Trading Robots on Russian Equity Market (RU)","algo;robots","","False","pdf","1,82","02_trading_systems_practice/Chebotarev Yu - Torgovye roboty na RF rynke.pdf","Chebotarev_Yu_Torgovye_roboty_na_rossijskom_fondovom_rynke.pdf"
"B043","02_trading_systems_practice","Michael Covel","Trend Following (RU)","trend-following","","False","pdf","2,75","02_trading_systems_practice/Covel Michael - Birzhevaya torgovlya po trendam.pdf","Майкл Ковел - Биржевая торговля по трендам.pdf"
"B044","02_trading_systems_practice","Michael Covel","The Complete TurtleTrader (RU)","turtles;trend-following","","False","djvu","16,73","02_trading_systems_practice/Covel Michael - Cherepahi-treydry.djvu","Майкл Ковел, Черепахи-трейдеры.djvu"
"B045","02_trading_systems_practice","","Hedger Diary (RU)","diary;hedging","","False","pdf","3,58","02_trading_systems_practice/Dnevnik hedzhera.pdf","Dnevnik hedjera.pdf"
"B046","02_trading_systems_practice","Alexander Elder","Trading for a Living basics (RU)","elder","","False","pdf","2,17","02_trading_systems_practice/Elder Alexander - Osnovy birzhevoy torgovli.pdf","Элдер А. - Основы биржевой торговли(ru).pdf"
"B047","02_trading_systems_practice","Alexander Elder","Trading: First Steps (RU)","elder","","False","pdf","0,55","02_trading_systems_practice/Elder Alexander - Treyding Pervye shagi.pdf","Александр Элдер. Трейдинг. Первые шаги.pdf"
"B048","02_trading_systems_practice","Jeffrey Katz, Donna McCormick","Encyclopedia of Trading Strategies (RU)","strategies;systems","Common attribution for RU edition of this title","False","pdf","5,96","02_trading_systems_practice/Entsiklopediya torgovyh strategiy.pdf","Энциклопедия-торговых-стратегий.pdf"
"B049","02_trading_systems_practice","Curtis Faith","Trading from Your Gut (RU)","turtles","","False","doc","1,01","02_trading_systems_practice/Faith Curtis - Treyding osnovannyy na intuitsii.doc","Куртис Фейс, Трейдинг, основанный на интуиции.doc"
"B050","02_trading_systems_practice","K. Farrell","Day Trade Online (RU)","daytrading","","False","doc","1,53","02_trading_systems_practice/Farrell K - Daytrade online.doc","К.Фаррел.Дейтрейд онлайн.doc"
"B051","02_trading_systems_practice","Feniks Institute","Begushchie po grablyam: 10 critical trader mistakes (2016)","course;psychology;brochure","Short brochure from fenixtradingclub.ru","False","pdf","2,67","02_trading_systems_practice/Feniks - Begushchie po grablyam 10 oshibok treydera.pdf","Бегущие по граблям.pdf"
"B052","02_trading_systems_practice","D. Ferguson","Martingale Method (RU)","martingale;caution","Martingale — high-risk concept","False","doc","0,1","02_trading_systems_practice/Ferguson D - Metod Martingeyla.doc","Д.Фергюсон.Метод Мартингейла.doc"
"B053","02_trading_systems_practice","Jesse Livermore (about)","Livermore Formula (RU)","livermore","","False","pdf","5,76","02_trading_systems_practice/Formula Livermora.pdf","Формула Ливермора.pdf"
"B054","02_trading_systems_practice","M. Friedfertig, D. West","Electronic Day Trading (RU)","intraday","","False","djvu","3,11","02_trading_systems_practice/Friedfertig West - Elektronnaya vnutridnevnaya torgovlya.djvu","М.Фридфертиг,Д.Уэст.Электронная внутридневная торговля ценными бумагами.djvu"
"B055","02_trading_systems_practice","A. Gerchik, S. Bychenok","Active Trader Course (RU)","gerchik","","False","pdf","7,2","02_trading_systems_practice/Gerchik A Bychenok S - Kurs aktivnogo treydera.pdf","А.Герчик, С.Быченок. Курс активного трейдера.pdf"
"B056","02_trading_systems_practice","R. Jones","The Trading Game (RU)","practice","","False","doc","1,78","02_trading_systems_practice/Jones R - Birzhevaya igra.doc","Р.Джонс.Биржевая игра.doc"
"B057","02_trading_systems_practice","Alexander Kurguzkin","Birzhevoy treyding: sistemnyy podhod (2009)","kurguzkin;systems","Identified from PDF text layer (was Trading Web.pdf)","False","pdf","1,1","02_trading_systems_practice/Kurguzkin A - Birzhevoy treyding sistemnyy podhod.pdf","trading_web.pdf"
"B058","02_trading_systems_practice","Alexander Kurguzkin","Labyrinth (RU)","kurguzkin;systems","","False","pdf","1,37","02_trading_systems_practice/Kurguzkin A - Labyrinth.pdf","Kurguzkin-Labyrinth.pdf"
"B059","02_trading_systems_practice","Alexander Kurguzkin","Trading: Game Structure (RU)","kurguzkin;systems","","False","pdf","1,1","02_trading_systems_practice/Kurguzkin A - Treyding struktura igry.pdf","Alexandr_Kurguzkin_Treyding-struktura_igry.pdf"
"B060","02_trading_systems_practice","Charles LeBeau, David Lucas","Computer Analysis of the Futures Market (RU)","lebeau;futures;ta;systems","Was mislabeled as Lebo day trading","False","pdf","3,12","02_trading_systems_practice/LeBeau Lucas - Kompyuternyy analiz fyuchersnyh rynkov.pdf","lebo.pdf"
"B061","02_trading_systems_practice","","Lectures 1–6 (merged)","course;lectures","","False","pdf","2,59","02_trading_systems_practice/Lektsii 1-6 merged.pdf","lektsia-1-lektsia-2-lektsia-3-lektsia-4-lektsia-5-lektsia-6-merged.pdf"
"B062","02_trading_systems_practice","Kathy Lien","Prop Trading Secrets (RU)","prop;forex","","False","pdf","1,46","02_trading_systems_practice/Lien Kathy - Sekrety prop treydinga.pdf","Кетти-Лин Секреты проп трейдинга.pdf"
"B063","02_trading_systems_practice","Kathy Lien","Millionaire Traders (RU)","prop","","False","fb2","1,24","02_trading_systems_practice/Lien Kathy - Treydry millionery.fb2","Lin_Ketti_Treidery-millionery.fb2"
"B064","02_trading_systems_practice","","Mechanical Trading Systems (RU)","systems;psychology","","False","pdf","3,18","02_trading_systems_practice/Mehanicheskie torgovye sistemy.pdf","Механические торговые системы. Психология трейдинга и технический анализ.pdf"
"B065","02_trading_systems_practice","","Trading Mechanisms (RU)","systems","","False","pdf","25,19","02_trading_systems_practice/Mehanizmy treydinga.pdf","Механизмы трейдинга.pdf"
"B066","02_trading_systems_practice","Erik Nayman","Buy Cheap Sell Expensive (RU)","nayman","","False","fb2","1,23","02_trading_systems_practice/Nayman Erik - Kak pokupat deshevo prodavat dorogo.fb2","erik_naiman_kak_pokupat_deshevo_prodavat_dorogo.fb2"
"B067","02_trading_systems_practice","Erik Nayman","Small Trader Encyclopedia (RU)","nayman","","False","pdf","2,58","02_trading_systems_practice/Nayman Erik - Malaya entsiklopediya treydera.pdf","enayman_malaya_encyiklopyedyiya_tryeydyera.pdf"
"B068","02_trading_systems_practice","Erik Nayman","Master Trading (RU)","nayman","","False","pdf","6,6","02_trading_systems_practice/Nayman Erik - Master trading.pdf","nayman_master_traiding.pdf"
"B069","02_trading_systems_practice","Erik Nayman","Trader-Investor (RU)","nayman","","False","pdf","12,59","02_trading_systems_practice/Nayman Erik - Treydr-Investor.pdf","Эрик Найман, Трейдер-Инвестор.pdf"
"B070","02_trading_systems_practice","William O'Neil","How to Make Money in Stocks (RU)","oneil;stocks","","False","djvu","5,62","02_trading_systems_practice/ONeil William - Kak delat dengi na fondovom rynke.djvu","ОНил. Как делать деньги на фондовом рынке.djvu"
"B071","02_trading_systems_practice","Robert Pardo","Design, Testing, and Optimization of Trading Systems (RU)","systems;backtest","","False","pdf","1,72","02_trading_systems_practice/Pardo Robert - Razrabotka i testirovanie TS.pdf","Robert_Pardo_Razrabotka_Razrabotka_testirovan.pdf"
"B072","02_trading_systems_practice","","Price Action Intraday Crude Oil (Book 1)","price-action;intraday;oil","","False","pdf","2,26","02_trading_systems_practice/Price Action Intraday Crude Oil Book 1.pdf","Price Action Intraday Trading Strategy for Crude Oil_ NO loss Day Trading - with price action (volume Book 1).pdf"
"B073","02_trading_systems_practice","Curtis Faith?","Way of the Turtle (RU)","turtles","","False","pdf","3,82","02_trading_systems_practice/Put cherepah - iz diletantov v legendarnye treydry.pdf","путь_черепах_из_дилетантов_в_легендарные_трейдеры.pdf"
"B074","02_trading_systems_practice","Linda Raschke, Laurence Connors","Street Smarts (RU)","raschke;systems","","False","pdf","2,35","02_trading_systems_practice/Raschke Connors - Birzhevye sekrety.pdf","birzhevye_sekrety_Rashke_Konnors.pdf"
"B075","02_trading_systems_practice","V.I. Safin","How to See Money on the Monitor (RU)","safin","","False","djvu","3,46","02_trading_systems_practice/Safin V.I. - Kak uvidet dengi na ekrane monitora.djvu","Сафин В.И. - Как увидеть деньги на экране монитора (2004)(ru).djvu"
"B076","02_trading_systems_practice","V.I. Safin","Trader Trading System: Success Factor (RU)","safin;systems","","False","pdf","11,68","02_trading_systems_practice/Safin V.I. - Torgovaya sistema treydera Faktor uspeha.pdf","_Сафин В.И., Торговая система трейдера. Фактор успеха.pdf"
"B077","02_trading_systems_practice","V.I. Safin","Intraday System: 5 Points for Success (RU)","safin;intraday","","False","pdf","2,25","02_trading_systems_practice/Safin V.I. - Vnutridnevnaya TS 5 ballov.pdf","V.Safin_Vnutridnevnaja_torgovaja_sistema_5_ballov_za_uspeh.pdf"
"B078","02_trading_systems_practice","","Online Stock Trading Secrets (RU)","stocks","","False","pdf","0,63","02_trading_systems_practice/Sekrety torgovli aktsiyami online.pdf","sekrety_torgovli_aktsiyami_on-line.pdf"
"B079","02_trading_systems_practice","","Successful Trader School — Course 1","course","","False","pdf","0,59","02_trading_systems_practice/Shkola uspeshnogo treydera - 1 kurs.pdf","Школа успешного трейдера - 1 курс.pdf"
"B080","02_trading_systems_practice","","Successful Trader School — Course 2","course","","False","pdf","4,4","02_trading_systems_practice/Shkola uspeshnogo treydera - 2 kurs.pdf","Школа успешного трейдера - 2 курс.pdf"
"B081","02_trading_systems_practice","","Successful Trader School — Course 3","course","","False","pdf","3,83","02_trading_systems_practice/Shkola uspeshnogo treydera - 3 kurs.pdf","Школа успешного трейдера - 3 курс.pdf"
"B082","02_trading_systems_practice","Gary Smith","How I Trade and Invest (RU)","practice","","False","djvu","5,59","02_trading_systems_practice/Smith Gary - Kak ya igrayu i vyigryvayu na birzhe.djvu","Гэри Смит. Как я играю и выигрываю на бирже.djvu"
"B083","02_trading_systems_practice","Solabuto","Trading Systems and Methods (RU)","systems","","False","pdf","2,82","02_trading_systems_practice/Solabuto - Treyding torgovye sistemy i metody.pdf","Solabuto_Treyding._Torgovyie_sistemyi_i_metodyi.pdf"
"B084","02_trading_systems_practice","Stanbridge","Trader Self-Study Guide (RU)","course","Filename OCR-fixed","False","pdf","4,21","02_trading_systems_practice/Stanbridge - Samouchitel treydera.pdf","Stanbadjer-Cfmou4itel tradera.pdf"
"B085","02_trading_systems_practice","Van Tharp","Super Trader (RU)","tharp","","False","djvu","12,34","02_trading_systems_practice/Tharp Van - Supertreyder.djvu","Ван К. Тарп, Супертрейдер.djvu"
"B086","02_trading_systems_practice","Van Tharp","Trade Your Way to Financial Freedom (RU)","tharp","","False","djvu","3,24","02_trading_systems_practice/Tharp Van - Treyding vash put.djvu","Тарп - Трейдинг ваш путь.djvu"
"B087","02_trading_systems_practice","Van Tharp, Brian June","Intraday Trading Secrets (RU)","tharp;intraday","","False","djvu","3,29","02_trading_systems_practice/Tharp Van June B - Vnutridnevnyy treyding.djvu","Ван Тарп и Брайан Джун.Внутридневный трейдинг.Секреты масте.djvu"
"B088","02_trading_systems_practice","John Murphy?","The Visual Investor (RU)","trends;ta","","False","djvu","2,79","02_trading_systems_practice/Vizualnyy investor - Kak opredelyat trendy.djvu","Визуальный инвестор. Как определять тренды.djvu"
"B089","02_trading_systems_practice","","HFT Revolution (RU)","hft","","False","pdf","1,68","02_trading_systems_practice/Vysokochastotnaya revolyutsiya.pdf","Высокочастотная революция.pdf"
"B090","02_trading_systems_practice","Deborah Weir","Timing the Markets (RU)","timing","","False","djvu","7,75","02_trading_systems_practice/Weir Deborah - Tayming finansovyh rynkov.djvu","Дебора Вейр, Тайминг финансовых рынков.djvu"
"B091","02_trading_systems_practice","Ken Wolff","Momentum Investing (RU)","momentum","","False","doc","0,51","02_trading_systems_practice/Wolff Ken - Momentum Investing.doc","Momentum Investing (Вольф Кен).doc"
"B092","03_market_wizards_bios","","Birzha. Budet ne legko (RU)","trading;narrative","Extracted PDF from ZIP; DJVU discarded","False","pdf","40,58","03_market_wizards_bios/Birzha - Budet ne legko.pdf","Birzha - Budet ne legko.pdf"
"B093","03_market_wizards_bios","Connie Bruck","The Predators' Ball (RU)","history","","False","doc","2,5","03_market_wizards_bios/Bruck Connie - Bal hishchnikov.doc","К.Брук.Бал хищников.doc"
"B094","03_market_wizards_bios","Satyajit Das","Traders, Guns & Money (RU)","das;derivatives-narrative","","False","pdf","3,39","03_market_wizards_bios/Das Satyajit - Traders Guns and Money.pdf","Trei_774_dery_Pushki_i_Dengi_Satyadzhit_Das.pdf"
"B095","03_market_wizards_bios","Max Gunther","The Zurich Axioms (RU)","axioms","","False","pdf","0,92","03_market_wizards_bios/Gunther M - Aksromy birzhevogo spekulyanta.pdf","Аксимы_биржевого_спекулянта_-_М.Гюнтер.pdf"
"B096","03_market_wizards_bios","","Ispoved (unidentified, 354p scan)","needs-review;unidentified;scan","Still unidentified: scanned cover-only image PDF, 354 pages. OCR not available in environment. Open cover manually.","False","pdf","18,26","03_market_wizards_bios/Ispoved.pdf","Исповедь.pdf"
"B097","03_market_wizards_bios","Edwin Lefèvre","Reminiscences of a Stock Operator (RU)","livermore;classic","","False","pdf","1,87","03_market_wizards_bios/Lefevre Edwin - Vospominaniya birzhevogo spekulyanta.pdf","Vospominania_Birzhevogo_Spekulyanta.pdf"
"B098","03_market_wizards_bios","Michael Lewis","The Big Short (RU)","lewis;crisis;narrative","Moved from 10_misc; filename had special Unicode spaces","False","pdf","2,94","03_market_wizards_bios/Lewis Michael - Bolshaya igra na ponizhenie.pdf","Lewis Michael - Bolshaya igra na ponizhenie.pdf"
"B099","03_market_wizards_bios","Jack Schwager","Market Wizards (RU)","schwager;wizards","","False","pdf","31,47","03_market_wizards_bios/Schwager Jack - Birzhevye magi.pdf","Биржевые маги. Швагер .pdf"
"B100","03_market_wizards_bios","Jack Schwager","Stock Market Wizards (RU)","schwager;wizards","","False","djvu","2,43","03_market_wizards_bios/Schwager Jack - Magi fondovogo rynka.djvu","Д.Швагер. Маги фондового рынка.djvu"
"B101","03_market_wizards_bios","Jack Schwager","The New Market Wizards (RU)","schwager;wizards","","False","pdf","2,09","03_market_wizards_bios/Schwager Jack - Novye magi rynka.pdf","Швагер - Новые маги рынка.pdf"
"B102","03_market_wizards_bios","Victor Sperandeo","Trader Vic II (RU)","sperandeo","","False","djvu","3,01","03_market_wizards_bios/Sperandeo Victor - Trader Vic II.djvu","Виктор Сперандео. Trader Vic II - Принципы профессиональной спекуляции.djvu"
"B103","03_market_wizards_bios","Tolly","Playing the Short Side (RU)","shorting","","False","djvu","5,9","03_market_wizards_bios/Tolly - Igra na ponizhenie.djvu","+Толли Игра на понижение.djvu"
"B104","03_market_wizards_bios","","Life and Death of the Greatest Speculator (RU)","livermore;bio","","False","pdf","2,73","03_market_wizards_bios/Zhizn i smert velichayshego spekulyanta.pdf","Zhizn_i_Smert_velichayshego_spekulyanta.pdf"
"B105","04_psychology_behavior","George Akerlof, Robert Shiller","Phishing for Phools (RU)","behavior","","False","pdf","4,75","04_psychology_behavior/Akerlof Shiller - Ohota na prostaka.pdf","oxota-na-prostaka-9785001004677.pdf"
"B106","04_psychology_behavior","Terry Burnham","Mean Markets and Lizard Brains (RU)","behavior","","False","pdf","1,77","04_psychology_behavior/Burnham Terry - Podlye rynki i mozg yashchera.pdf","Terri-Bernhem-Podlyie-ryinki-i-mozg-yashhera.pdf"
"B107","04_psychology_behavior","David Cohen","Fear, Greed and Panic (RU)","psychology","","False","pdf","3,16","04_psychology_behavior/Cohen David - Psihologiya fondovogo rynka.pdf","Дэвид Кохен, Психология фондового рынка - страх, алчность и паника.pdf"
"B108","04_psychology_behavior","Richard Thaler, Cass Sunstein","Nudge","behavior;nudge","","False","pdf","3,22","04_psychology_behavior/Thaler Sunstein - Nudge.pdf","nudge-28-6-17.pdf"
"B109","05_risk_money_management","Peter Bernstein","Against the Gods (RU)","risk-history","","False","pdf","3,12","05_risk_money_management/Bernstein Peter - Protiv bogov.pdf","P.Bernstayn.Protiv-bogov.pdf"
"B110","05_risk_money_management","William Bernstein","The Intelligent Asset Allocator (RU)","asset-allocation","","False","pdf","4,58","05_risk_money_management/Bernstein William - Razumnoe raspredelenie aktivov.pdf","Бернстайн Уильям. Разумное распределение активов. Как построить портфель с максимальной доходностью и минимальным риском.pdf"
"B111","05_risk_money_management","M. Chekulaev","Risk Management (RU)","risk","","False","djvu","2,26","05_risk_money_management/Chekulaev M - Risk menedzhment.djvu","М.Чекулаев.Риск менеджмент.Управление финансовыми рисками н.djvu"
"B112","05_risk_money_management","Kenneth Grant","Trading Risk (RU)","risk","","False","pdf","3,03","05_risk_money_management/Grant Kenneth - Upravlenie riskami v treydinge.pdf","Кеннет Л. Грант, Управление рисками в трейдинге.pdf"
"B113","05_risk_money_management","","How to Predict Financial Crashes (RU)","crashes;risk","","False","djvu","7,38","05_risk_money_management/Kak predskazyvat krahi fin rynkov.djvu","Как предсказывать крахи фин. рынков.djvu"
"B114","05_risk_money_management","Nassim Taleb","The Black Swan (RU)","taleb;risk;black-swan","Extracted from ZIP archive","False","pdf","6,73","05_risk_money_management/Taleb Nassim - Chernyy Lebed.pdf","Taleb Nassim - Chernyy Lebed.pdf"
"B115","05_risk_money_management","Nassim Taleb","Fooled by Randomness (RU)","taleb;risk","","False","pdf","0,55","05_risk_money_management/Taleb Nassim - Odurachennye sluchaynostyu.pdf","Нассим_Николас_Талеб_Одураченные случайностью (1).pdf"
"B116","05_risk_money_management","","Managing Risk: CCP Clearing (RU)","clearing;risk","","False","pdf","5,75","05_risk_money_management/Upravlyaya riskami - Kliring i CCP.pdf","Управляя рисками. Клиринг с участием центральных контрагентов на глобальных финансовых рынках.pdf"
"B117","05_risk_money_management","Ralph Vince","The Mathematics of Money Management (RU)","money-management;kelly","","False","pdf","2,13","05_risk_money_management/Vince Ralph - Matematika upravleniya kapitalom.pdf","Р. Винс.Математика управления капиталом.pdf"
"B118","05_risk_money_management","","All About Asset Allocation (RU)","asset-allocation","","False","pdf","6,97","05_risk_money_management/Vse o raspredelenii aktivov.pdf","Всё о распределении активов1.pdf"
